Student index,age,hostel,mess,year,department,program,batch,inCampus
345,23,Parijat Nivas,South Mess,2,2018101079,B.Tech,2018101079,1
346,19,Bakul Nivas,Kadamba Mess,3,2018101081,B.Tech,2018101081,1
347,20,Bakul Nivas,Kadamba Mess,2,2018101082,B.Tech,2018101082,1
348,21,Bakul Nivas,Yuktahaar Mess,3,2018101083,B.Tech,2018101083,1
349,23,Bakul Nivas,Kadamba Mess,3,2018101084,B.Tech,2018101084,1
350,21,Bakul Nivas,Yuktahaar Mess,3,2018101085,Ph.D,2018101085,1
351,22,Bakul Nivas,South Mess,1,2018101086,B.Tech,2018101086,1
352,19,Parijat Nivas,Yuktahaar Mess,1,2018101087,B.Tech,2018101087,1
353,22,Bakul Nivas,Yuktahaar Mess,4,2018101088,B.Tech,2018101088,1
354,24,Bakul Nivas,Yuktahaar Mess,3,2018101089,B.Tech,2018101089,1
355,18,Parijat Nivas,Kadamba Mess,2,2018101090,B.Tech,2018101090,1
356,22,Bakul Nivas,South Mess,3,2018101091,B.Tech,2018101091,1
357,19,Bakul Nivas,South Mess,4,2018101092,B.Tech,2018101092,1
358,22,Bakul Nivas,Yuktahaar Mess,2,2018101093,B.Tech,2018101093,1
359,18,Bakul Nivas,Yuktahaar Mess,1,2018101094,B.Tech,2018101094,1
360,20,Bakul Nivas,Yuktahaar Mess,1,2018101095,B.Tech,2018101095,1
361,21,Bakul Nivas,South Mess,1,2018101097,B.Tech,2018101097,1
362,23,Bakul Nivas,Yuktahaar Mess,2,2018101098,Ph.D,2018101098,1
363,18,Bakul Nivas,Kadamba Mess,2,2018101099,B.Tech,2018101099,1
364,23,Bakul Nivas,Yuktahaar Mess,2,2018101100,B.Tech,2018101100,1
365,22,Bakul Nivas,Kadamba Mess,2,2018101101,B.Tech,2018101101,1
366,19,Bakul Nivas,Kadamba Mess,4,2018101102,B.Tech,2018101102,1
367,22,Bakul Nivas,Yuktahaar Mess,4,2018101103,B.Tech,2018101103,1
368,19,Bakul Nivas,South Mess,1,2018101104,B.Tech,2018101104,1
369,21,Bakul Nivas,Kadamba Mess,4,2018101105,B.Tech,2018101105,1
370,22,Bakul Nivas,South Mess,3,2018101106,B.Tech,2018101106,1
371,21,Parijat Nivas,Yuktahaar Mess,2,2018101107,Ph.D,2018101107,1
372,24,Bakul Nivas,Kadamba Mess,1,2018101108,B.Tech,2018101108,1
373,23,Bakul Nivas,Yuktahaar Mess,2,2018101109,B.Tech,2018101109,1
374,20,Bakul Nivas,Yuktahaar Mess,3,2018101110,B.Tech,2018101110,1
375,24,Parijat Nivas,Yuktahaar Mess,2,2018101111,B.Tech,2018101111,1
376,24,Bakul Nivas,Kadamba Mess,2,2018101112,Ph.D,2018101112,1
377,23,Bakul Nivas,Kadamba Mess,2,2018101114,B.Tech,2018101114,1
378,19,Bakul Nivas,Kadamba Mess,2,2018101115,Ph.D,2018101115,1
379,23,Bakul Nivas,Kadamba Mess,2,2018101116,B.Tech,2018101116,1
380,19,Bakul Nivas,Kadamba Mess,4,2018101117,Ph.D,2018101117,1
381,23,Bakul Nivas,Kadamba Mess,1,2018101118,B.Tech,2018101118,1
382,21,Bakul Nivas,Yuktahaar Mess,2,2018101119,B.Tech,2018101119,1
383,21,Bakul Nivas,South Mess,1,2018101126,B.Tech,2018101126,1
384,21,Parijat Nivas,Yuktahaar Mess,2,2018101128,Ph.D,2018101128,1
385,24,Bakul Nivas,Yuktahaar Mess,3,2018102001,B.Tech,2018102001,1
386,18,Bakul Nivas,South Mess,1,2018102002,B.Tech,2018102002,1
387,18,Bakul Nivas,South Mess,2,2018102003,B.Tech,2018102003,1
388,24,Bakul Nivas,Kadamba Mess,4,2018102005,B.Tech,2018102005,1
389,22,Bakul Nivas,South Mess,3,2018102006,B.Tech,2018102006,1
390,22,Bakul Nivas,Yuktahaar Mess,1,2018102007,Ph.D,2018102007,1
391,22,Bakul Nivas,Yuktahaar Mess,2,2018102008,Ph.D,2018102008,1
392,22,Bakul Nivas,Kadamba Mess,1,2018102009,B.Tech,2018102009,1
393,24,Bakul Nivas,Yuktahaar Mess,1,2018102010,B.Tech,2018102010,1
394,21,Parijat Nivas,Kadamba Mess,3,2018102011,Ph.D,2018102011,1
395,22,Bakul Nivas,Kadamba Mess,4,2018102013,Ph.D,2018102013,1
396,19,Bakul Nivas,Kadamba Mess,1,2018102014,Ph.D,2018102014,1
397,21,Bakul Nivas,South Mess,3,2018102015,B.Tech,2018102015,1
398,21,Parijat Nivas,South Mess,4,2018102016,B.Tech,2018102016,1
399,24,Bakul Nivas,South Mess,4,2018102017,B.Tech,2018102017,1
400,19,Parijat Nivas,South Mess,1,2018102018,B.Tech,2018102018,1
401,18,Bakul Nivas,Kadamba Mess,3,2018102019,B.Tech,2018102019,1
402,24,Bakul Nivas,South Mess,3,2018102020,Ph.D,2018102020,1
403,18,Bakul Nivas,Kadamba Mess,2,2018102021,B.Tech,2018102021,1
404,22,Bakul Nivas,Yuktahaar Mess,2,2018102022,Ph.D,2018102022,1
405,20,Bakul Nivas,South Mess,4,2018102023,B.Tech,2018102023,1
406,24,Bakul Nivas,Kadamba Mess,4,2018102024,B.Tech,2018102024,1
407,24,Bakul Nivas,Yuktahaar Mess,1,2018102026,B.Tech,2018102026,1
408,24,Bakul Nivas,Kadamba Mess,2,2018102027,B.Tech,2018102027,1
409,20,Parijat Nivas,South Mess,3,2018102028,B.Tech,2018102028,1
410,19,Parijat Nivas,Kadamba Mess,3,2018102029,B.Tech,2018102029,1
411,22,Bakul Nivas,Yuktahaar Mess,4,2018102030,B.Tech,2018102030,1
412,18,Bakul Nivas,Yuktahaar Mess,4,2018102031,B.Tech,2018102031,1
413,21,Parijat Nivas,Kadamba Mess,4,2018102032,B.Tech,2018102032,1
414,23,Bakul Nivas,South Mess,2,2018102033,B.Tech,2018102033,1
415,21,Bakul Nivas,Yuktahaar Mess,1,2018102034,B.Tech,2018102034,1
416,24,Bakul Nivas,South Mess,3,2018102035,B.Tech,2018102035,1
417,22,Parijat Nivas,Yuktahaar Mess,3,2018102036,B.Tech,2018102036,1
418,22,Bakul Nivas,Kadamba Mess,1,2018102037,B.Tech,2018102037,1
419,21,Bakul Nivas,Kadamba Mess,4,2018102038,B.Tech,2018102038,1
420,21,Bakul Nivas,Yuktahaar Mess,2,2018102039,B.Tech,2018102039,1
421,21,Bakul Nivas,Kadamba Mess,2,2018102040,B.Tech,2018102040,1
422,21,Bakul Nivas,Yuktahaar Mess,3,2018102041,B.Tech,2018102041,1
423,18,Parijat Nivas,South Mess,2,2018102042,B.Tech,2018102042,1
424,20,Bakul Nivas,South Mess,2,2018102047,Ph.D,2018102047,1
425,24,Bakul Nivas,Kadamba Mess,3,2018102048,B.Tech,2018102048,1
426,20,Bakul Nivas,South Mess,2,2018102049,B.Tech,2018102049,1
427,20,Bakul Nivas,Kadamba Mess,1,2018111001,B.Tech,2018111001,1
428,19,Bakul Nivas,Yuktahaar Mess,1,2018111002,B.Tech,2018111002,1
429,19,Bakul Nivas,Kadamba Mess,4,2018111003,B.Tech,2018111003,1
430,23,Bakul Nivas,Yuktahaar Mess,1,2018111004,Ph.D,2018111004,1
431,20,Bakul Nivas,South Mess,1,2018111005,B.Tech,2018111005,1
432,21,Bakul Nivas,South Mess,1,2018111006,B.Tech,2018111006,1
433,22,Bakul Nivas,Yuktahaar Mess,4,2018111007,B.Tech,2018111007,1
434,18,Bakul Nivas,Kadamba Mess,3,2018111008,Ph.D,2018111008,1
435,20,Bakul Nivas,Kadamba Mess,1,2018111009,B.Tech,2018111009,1
436,22,Bakul Nivas,Kadamba Mess,3,2018111010,B.Tech,2018111010,1
437,20,Bakul Nivas,South Mess,1,2018111011,B.Tech,2018111011,1
438,20,Bakul Nivas,Kadamba Mess,4,2018111012,B.Tech,2018111012,1
439,21,Parijat Nivas,South Mess,2,2018111013,B.Tech,2018111013,1
440,20,Parijat Nivas,Yuktahaar Mess,1,2018111014,Ph.D,2018111014,1
441,19,Bakul Nivas,South Mess,1,2018111015,B.Tech,2018111015,1
442,22,Bakul Nivas,South Mess,3,2018111016,B.Tech,2018111016,1
443,21,Bakul Nivas,Yuktahaar Mess,4,2018111017,B.Tech,2018111017,1
444,24,Bakul Nivas,Yuktahaar Mess,3,2018111018,B.Tech,2018111018,1
445,22,Bakul Nivas,Yuktahaar Mess,2,2018111019,Ph.D,2018111019,1
446,24,Bakul Nivas,Yuktahaar Mess,4,2018111020,Ph.D,2018111020,1
447,19,Bakul Nivas,Kadamba Mess,4,2018111021,B.Tech,2018111021,1
448,18,Bakul Nivas,Kadamba Mess,2,2018111022,B.Tech,2018111022,1
449,24,Parijat Nivas,Yuktahaar Mess,3,2018111023,B.Tech,2018111023,1
450,22,Bakul Nivas,Yuktahaar Mess,1,2018111024,B.Tech,2018111024,1
451,21,Bakul Nivas,Kadamba Mess,1,2018111025,B.Tech,2018111025,1
452,19,Bakul Nivas,Kadamba Mess,3,2018111026,Ph.D,2018111026,1
453,20,Bakul Nivas,South Mess,1,2018111027,B.Tech,2018111027,1
454,18,Parijat Nivas,Kadamba Mess,4,2018111028,B.Tech,2018111028,1
455,21,Bakul Nivas,Kadamba Mess,1,2018111029,Ph.D,2018111029,1
456,20,Bakul Nivas,Yuktahaar Mess,3,2018111030,B.Tech,2018111030,1
457,23,Bakul Nivas,Yuktahaar Mess,2,2018111032,Ph.D,2018111032,1
458,18,Bakul Nivas,South Mess,2,2018111033,B.Tech,2018111033,1
459,21,Bakul Nivas,Yuktahaar Mess,4,2018111034,Ph.D,2018111034,1
460,22,Bakul Nivas,Yuktahaar Mess,2,2018111040,Ph.D,2018111040,1
461,19,Bakul Nivas,South Mess,1,2018112001,Ph.D,2018112001,1
462,18,Parijat Nivas,Yuktahaar Mess,4,2018112003,B.Tech,2018112003,1
463,18,Parijat Nivas,Yuktahaar Mess,1,2018112004,Ph.D,2018112004,1
464,22,Bakul Nivas,South Mess,2,2018112005,B.Tech,2018112005,1
465,23,Bakul Nivas,Kadamba Mess,2,2018112006,B.Tech,2018112006,1
466,20,Bakul Nivas,South Mess,2,2018113001,B.Tech,2018113001,1
467,18,Bakul Nivas,Yuktahaar Mess,2,2018113002,Ph.D,2018113002,1
468,22,Bakul Nivas,Yuktahaar Mess,3,2018113003,Ph.D,2018113003,1
469,24,Bakul Nivas,Yuktahaar Mess,2,2018113004,B.Tech,2018113004,1
470,24,Bakul Nivas,South Mess,4,2018113006,B.Tech,2018113006,1
471,22,Parijat Nivas,Yuktahaar Mess,4,2018113007,B.Tech,2018113007,1
472,22,Bakul Nivas,Yuktahaar Mess,3,2018113008,B.Tech,2018113008,1
473,24,Bakul Nivas,South Mess,4,2018113010,B.Tech,2018113010,1
474,18,Bakul Nivas,Yuktahaar Mess,1,2018113011,B.Tech,2018113011,1
475,24,Bakul Nivas,South Mess,3,2018113012,B.Tech,2018113012,1
476,23,Bakul Nivas,Kadamba Mess,3,2018113020,Ph.D,2018113020,1
477,24,Bakul Nivas,South Mess,4,2018114001,B.Tech,2018114001,1
478,18,Bakul Nivas,Yuktahaar Mess,4,2018114002,B.Tech,2018114002,1
479,20,Bakul Nivas,Yuktahaar Mess,2,2018114003,B.Tech,2018114003,1
480,21,Parijat Nivas,Yuktahaar Mess,4,2018114004,Ph.D,2018114004,1
481,24,Bakul Nivas,South Mess,3,2018114005,Ph.D,2018114005,1
482,19,Bakul Nivas,Kadamba Mess,2,2018114006,B.Tech,2018114006,1
483,21,Bakul Nivas,Yuktahaar Mess,3,2018114007,Ph.D,2018114007,1
484,23,Bakul Nivas,Yuktahaar Mess,2,2018114008,B.Tech,2018114008,1
485,23,Bakul Nivas,Kadamba Mess,1,2018114009,B.Tech,2018114009,1
486,24,Bakul Nivas,Yuktahaar Mess,3,2018114011,B.Tech,2018114011,1
487,20,Parijat Nivas,Yuktahaar Mess,2,2018114012,B.Tech,2018114012,1
488,20,Bakul Nivas,Kadamba Mess,1,2018114013,B.Tech,2018114013,1
489,19,Parijat Nivas,South Mess,1,2018114014,Ph.D,2018114014,1
490,19,Bakul Nivas,South Mess,3,2018114015,B.Tech,2018114015,1
491,18,Bakul Nivas,Yuktahaar Mess,1,2018114016,B.Tech,2018114016,1
492,24,Bakul Nivas,Yuktahaar Mess,3,2018114017,Ph.D,2018114017,1
493,21,Bakul Nivas,Yuktahaar Mess,1,2018114018,B.Tech,2018114018,1
494,21,Bakul Nivas,South Mess,1,2018114019,Ph.D,2018114019,1
495,19,Bakul Nivas,Kadamba Mess,3,2018114020,Ph.D,2018114020,1
496,24,Bakul Nivas,South Mess,3,2018121001,B.Tech,2018121001,1
497,24,Bakul Nivas,Yuktahaar Mess,4,2018121002,B.Tech,2018121002,1
498,21,Bakul Nivas,South Mess,4,2018121003,B.Tech,2018121003,1
499,24,Bakul Nivas,Yuktahaar Mess,1,2018121004,B.Tech,2018121004,1
500,18,Bakul Nivas,Yuktahaar Mess,2,2018121005,B.Tech,2018121005,1
501,19,Parijat Nivas,South Mess,3,2018122001,B.Tech,2018122001,1
502,18,Bakul Nivas,South Mess,2,2018122002,B.Tech,2018122002,1
503,21,Bakul Nivas,Kadamba Mess,2,2018122003,B.Tech,2018122003,1
504,22,Parijat Nivas,Kadamba Mess,2,2018122004,Ph.D,2018122004,1
505,21,Bakul Nivas,South Mess,4,2018122005,B.Tech,2018122005,1
506,19,Bakul Nivas,Kadamba Mess,4,2018122006,B.Tech,2018122006,1
507,19,Bakul Nivas,Kadamba Mess,3,2018122007,Ph.D,2018122007,1
508,20,Bakul Nivas,Yuktahaar Mess,4,2018122008,Ph.D,2018122008,1
509,19,Bakul Nivas,Kadamba Mess,1,2018122009,B.Tech,2018122009,1
510,18,Parijat Nivas,Kadamba Mess,3,2018122010,B.Tech,2018122010,1
511,19,Parijat Nivas,Yuktahaar Mess,3,2018201059,B.Tech,2018201059,1
512,19,Palash Nivas,Kadamba Mess,3,2018701004,B.Tech,2018701004,1
513,20,Palash Nivas,South Mess,1,2018702011,B.Tech,2018702011,1
514,22,Parijat Nivas,Kadamba Mess,3,2018711001,B.Tech,2018711001,1
515,24,Parijat Nivas,South Mess,4,2018801003,B.Tech,2018801003,1
516,19,Palash Nivas,Yuktahaar Mess,3,2018801006,B.Tech,2018801006,1
517,18,Palash Nivas,Kadamba Mess,3,2018811001,B.Tech,2018811001,1
518,23,Palash Nivas,South Mess,2,2018812001,Ph.D,2018812001,1
519,20,Palash Nivas,South Mess,4,2018812002,Ph.D,2018812002,1
520,21,Palash Nivas,South Mess,1,2018900001,B.Tech,2018900001,1
521,19,Parijat Nivas,Kadamba Mess,4,2018900002,B.Tech,2018900002,1
522,20,Parijat Nivas,Kadamba Mess,2,2018900014,B.Tech,2018900014,1
523,21,Palash Nivas,Yuktahaar Mess,1,2018900047,Ph.D,2018900047,1
524,20,Parijat Nivas,Kadamba Mess,1,2018900050,B.Tech,2018900050,1
525,20,Palash Nivas,Yuktahaar Mess,2,2018900056,B.Tech,2018900056,1
526,24,Palash Nivas,South Mess,3,2018900071,B.Tech,2018900071,1
527,19,Palash Nivas,Kadamba Mess,4,2018900074,Ph.D,2018900074,1
528,23,Parijat Nivas,Kadamba Mess,2,2018900075,B.Tech,2018900075,1
529,19,Parijat Nivas,Kadamba Mess,1,2018900085,B.Tech,2018900085,1
530,20,Parijat Nivas,Kadamba Mess,1,2018900089,B.Tech,2018900089,1
531,21,Palash Nivas,Kadamba Mess,2,2018900090,B.Tech,2018900090,1
532,24,Parijat Nivas,South Mess,3,2018900104,B.Tech,2018900104,1
533,20,Bakul Nivas,Yuktahaar Mess,1,2019101001,Ph.D,2019101001,1
534,20,Bakul Nivas,Kadamba Mess,2,2019101002,B.Tech,2019101002,1
535,19,Bakul Nivas,South Mess,3,2019101003,B.Tech,2019101003,1
536,20,Bakul Nivas,Kadamba Mess,3,2019101004,B.Tech,2019101004,1
537,18,Bakul Nivas,Kadamba Mess,2,2019101005,B.Tech,2019101005,1
538,18,Bakul Nivas,Kadamba Mess,2,2019101006,B.Tech,2019101006,1
539,19,Parijat Nivas,South Mess,3,2019101007,Ph.D,2019101007,1
540,18,Bakul Nivas,Yuktahaar Mess,1,2019101008,B.Tech,2019101008,1
541,21,Bakul Nivas,Kadamba Mess,1,2019101009,B.Tech,2019101009,1
542,24,Bakul Nivas,South Mess,1,2019101010,B.Tech,2019101010,1
543,18,Bakul Nivas,Kadamba Mess,3,2019101011,B.Tech,2019101011,1
544,22,Bakul Nivas,Yuktahaar Mess,3,2019101012,B.Tech,2019101012,1
545,23,Bakul Nivas,Kadamba Mess,4,2019101013,Ph.D,2019101013,1
546,19,Bakul Nivas,South Mess,3,2019101014,Ph.D,2019101014,1
547,23,Bakul Nivas,Kadamba Mess,1,2019101015,B.Tech,2019101015,1
548,21,Bakul Nivas,South Mess,1,2019101016,B.Tech,2019101016,1
549,19,Bakul Nivas,Yuktahaar Mess,1,2019101017,B.Tech,2019101017,1
550,19,Bakul Nivas,South Mess,3,2019101018,B.Tech,2019101018,1
551,23,Bakul Nivas,Kadamba Mess,2,2019101019,Ph.D,2019101019,1
552,19,Bakul Nivas,Kadamba Mess,3,2019101020,Ph.D,2019101020,1
553,20,Bakul Nivas,Yuktahaar Mess,3,2019101021,Ph.D,2019101021,1
554,20,Bakul Nivas,Kadamba Mess,3,2019101022,Ph.D,2019101022,1
555,21,Bakul Nivas,Kadamba Mess,3,2019101023,B.Tech,2019101023,1
556,19,Bakul Nivas,Kadamba Mess,2,2019101024,B.Tech,2019101024,1
557,24,Parijat Nivas,Yuktahaar Mess,4,2019101025,B.Tech,2019101025,1
558,24,Bakul Nivas,Kadamba Mess,4,2019101026,Ph.D,2019101026,1
559,18,Bakul Nivas,Kadamba Mess,1,2019101027,Ph.D,2019101027,1
560,20,Bakul Nivas,Yuktahaar Mess,1,2019101028,Ph.D,2019101028,1
561,20,Bakul Nivas,Kadamba Mess,2,2019101029,B.Tech,2019101029,1
562,22,Bakul Nivas,Kadamba Mess,4,2019101030,Ph.D,2019101030,1
563,20,Bakul Nivas,Kadamba Mess,1,2019101031,B.Tech,2019101031,1
564,24,Parijat Nivas,South Mess,1,2019101032,B.Tech,2019101032,1
565,23,Bakul Nivas,Yuktahaar Mess,1,2019101033,B.Tech,2019101033,1
566,22,Bakul Nivas,Kadamba Mess,2,2019101034,B.Tech,2019101034,1
567,24,Bakul Nivas,Kadamba Mess,1,2019101035,B.Tech,2019101035,1
568,22,Bakul Nivas,Yuktahaar Mess,3,2019101036,Ph.D,2019101036,1
569,19,Bakul Nivas,Yuktahaar Mess,3,2019101038,B.Tech,2019101038,1
570,22,Bakul Nivas,South Mess,1,2019101039,B.Tech,2019101039,1
571,20,Bakul Nivas,Kadamba Mess,3,2019101040,B.Tech,2019101040,1
572,22,Bakul Nivas,Kadamba Mess,4,2019101041,B.Tech,2019101041,1
573,24,Bakul Nivas,Yuktahaar Mess,3,2019101042,Ph.D,2019101042,1
574,20,Bakul Nivas,South Mess,1,2019101043,B.Tech,2019101043,1
575,24,Parijat Nivas,Yuktahaar Mess,3,2019101044,B.Tech,2019101044,1
576,18,Parijat Nivas,South Mess,4,2019101045,Ph.D,2019101045,1
577,21,Bakul Nivas,Yuktahaar Mess,3,2019101046,B.Tech,2019101046,1
578,19,Bakul Nivas,South Mess,4,2019101047,B.Tech,2019101047,1
579,21,Bakul Nivas,Yuktahaar Mess,4,2019101048,B.Tech,2019101048,1
580,23,Parijat Nivas,South Mess,3,2019101049,B.Tech,2019101049,1
581,19,Bakul Nivas,Kadamba Mess,3,2019101050,B.Tech,2019101050,1
582,23,Bakul Nivas,Kadamba Mess,2,2019101051,B.Tech,2019101051,1
583,19,Bakul Nivas,Yuktahaar Mess,1,2019101052,B.Tech,2019101052,1
584,21,Bakul Nivas,Kadamba Mess,1,2019101053,B.Tech,2019101053,1
585,19,Bakul Nivas,South Mess,2,2019101054,B.Tech,2019101054,1
586,20,Bakul Nivas,Kadamba Mess,4,2019101055,B.Tech,2019101055,1
587,20,Bakul Nivas,Yuktahaar Mess,3,2019101056,B.Tech,2019101056,1
588,24,Bakul Nivas,South Mess,1,2019101057,B.Tech,2019101057,1
589,18,Bakul Nivas,Yuktahaar Mess,1,2019101058,B.Tech,2019101058,1
590,20,Bakul Nivas,South Mess,4,2019101059,Ph.D,2019101059,1
591,21,Bakul Nivas,Yuktahaar Mess,4,2019101060,B.Tech,2019101060,1
592,21,Bakul Nivas,Kadamba Mess,4,2019101061,B.Tech,2019101061,1
593,22,Bakul Nivas,South Mess,1,2019101062,B.Tech,2019101062,1
594,24,Bakul Nivas,South Mess,2,2019101063,B.Tech,2019101063,1
595,22,Bakul Nivas,South Mess,2,2019101064,B.Tech,2019101064,1
596,19,Parijat Nivas,Kadamba Mess,3,2019101065,B.Tech,2019101065,1
597,22,Bakul Nivas,Kadamba Mess,4,2019101066,B.Tech,2019101066,1
598,23,Bakul Nivas,South Mess,2,2019101067,B.Tech,2019101067,1
599,21,Bakul Nivas,Kadamba Mess,4,2019101068,B.Tech,2019101068,1
600,20,Bakul Nivas,Yuktahaar Mess,4,2019101069,B.Tech,2019101069,1
601,18,Bakul Nivas,Kadamba Mess,2,2019101070,Ph.D,2019101070,1
602,19,Bakul Nivas,Kadamba Mess,4,2019101071,B.Tech,2019101071,1
603,21,Bakul Nivas,South Mess,2,2019101072,B.Tech,2019101072,1
604,21,Bakul Nivas,South Mess,1,2019101073,B.Tech,2019101073,1
605,19,Bakul Nivas,Kadamba Mess,3,2019101074,B.Tech,2019101074,1
606,19,Parijat Nivas,Yuktahaar Mess,4,2019101075,B.Tech,2019101075,1
607,19,Bakul Nivas,Kadamba Mess,1,2019101076,B.Tech,2019101076,1
608,23,Bakul Nivas,Kadamba Mess,3,2019101077,B.Tech,2019101077,1
609,24,Bakul Nivas,South Mess,1,2019101078,B.Tech,2019101078,1
610,22,Bakul Nivas,South Mess,4,2019101079,B.Tech,2019101079,1
611,22,Bakul Nivas,Yuktahaar Mess,4,2019101080,B.Tech,2019101080,1
612,19,Bakul Nivas,South Mess,1,2019101081,Ph.D,2019101081,1
613,20,Bakul Nivas,South Mess,1,2019101082,B.Tech,2019101082,1
614,22,Bakul Nivas,Kadamba Mess,1,2019101083,B.Tech,2019101083,1
615,20,Bakul Nivas,Kadamba Mess,2,2019101084,Ph.D,2019101084,1
616,19,Bakul Nivas,Yuktahaar Mess,1,2019101085,Ph.D,2019101085,1
617,18,Bakul Nivas,Yuktahaar Mess,2,2019101086,Ph.D,2019101086,1
618,21,Bakul Nivas,Yuktahaar Mess,3,2019101087,B.Tech,2019101087,1
619,24,Parijat Nivas,Yuktahaar Mess,2,2019101088,B.Tech,2019101088,1
620,24,Bakul Nivas,Kadamba Mess,3,2019101090,B.Tech,2019101090,1
621,24,Bakul Nivas,Kadamba Mess,1,2019101091,B.Tech,2019101091,1
622,24,Bakul Nivas,Kadamba Mess,2,2019101092,Ph.D,2019101092,1
623,21,Bakul Nivas,South Mess,3,2019101093,Ph.D,2019101093,1
624,19,Bakul Nivas,Kadamba Mess,2,2019101094,B.Tech,2019101094,1
625,19,Bakul Nivas,Yuktahaar Mess,3,2019101095,B.Tech,2019101095,1
626,18,Bakul Nivas,South Mess,2,2019101096,B.Tech,2019101096,1
627,21,Bakul Nivas,South Mess,4,2019101097,B.Tech,2019101097,1
628,22,Bakul Nivas,Kadamba Mess,3,2019101098,Ph.D,2019101098,1
629,24,Bakul Nivas,South Mess,4,2019101099,B.Tech,2019101099,1
630,19,Bakul Nivas,South Mess,3,2019101100,B.Tech,2019101100,1
631,18,Bakul Nivas,Kadamba Mess,1,2019101101,B.Tech,2019101101,1
632,20,Bakul Nivas,South Mess,3,2019101102,Ph.D,2019101102,1
633,22,Bakul Nivas,Kadamba Mess,3,2019101103,B.Tech,2019101103,1
634,24,Bakul Nivas,Kadamba Mess,1,2019101104,B.Tech,2019101104,1
635,23,Bakul Nivas,South Mess,4,2019101105,B.Tech,2019101105,1
636,20,Parijat Nivas,Kadamba Mess,1,2019101107,B.Tech,2019101107,1
637,20,Bakul Nivas,Yuktahaar Mess,1,2019101108,B.Tech,2019101108,1
638,23,Bakul Nivas,South Mess,1,2019101109,Ph.D,2019101109,1
639,21,Bakul Nivas,Kadamba Mess,2,2019101110,Ph.D,2019101110,1
640,22,Bakul Nivas,Kadamba Mess,1,2019101111,Ph.D,2019101111,1
641,21,Parijat Nivas,South Mess,3,2019101112,B.Tech,2019101112,1
642,20,Bakul Nivas,South Mess,1,2019101113,B.Tech,2019101113,1
643,21,Bakul Nivas,Kadamba Mess,4,2019101114,B.Tech,2019101114,1
644,20,Bakul Nivas,Yuktahaar Mess,3,2019101115,B.Tech,2019101115,1
645,24,Bakul Nivas,Yuktahaar Mess,1,2019101116,Ph.D,2019101116,1
646,18,Bakul Nivas,Kadamba Mess,2,2019101117,B.Tech,2019101117,1
647,20,Bakul Nivas,Yuktahaar Mess,1,2019101118,B.Tech,2019101118,1
648,20,Bakul Nivas,South Mess,1,2019101119,B.Tech,2019101119,1
649,24,Parijat Nivas,Kadamba Mess,1,2019101120,B.Tech,2019101120,1
650,24,Bakul Nivas,South Mess,4,2019101121,B.Tech,2019101121,1
651,21,Bakul Nivas,Yuktahaar Mess,2,2019101122,B.Tech,2019101122,1
652,22,Bakul Nivas,Kadamba Mess,4,2019101126,B.Tech,2019101126,1
653,24,Parijat Nivas,Yuktahaar Mess,2,2019101127,B.Tech,2019101127,1
654,21,Bakul Nivas,Kadamba Mess,2,2019102001,Ph.D,2019102001,1
655,22,Parijat Nivas,Yuktahaar Mess,4,2019102002,B.Tech,2019102002,1
656,19,Bakul Nivas,South Mess,2,2019102003,B.Tech,2019102003,1
657,19,Bakul Nivas,South Mess,2,2019102004,B.Tech,2019102004,1
658,24,Bakul Nivas,Yuktahaar Mess,3,2019102005,B.Tech,2019102005,1
659,19,Bakul Nivas,Kadamba Mess,2,2019102006,B.Tech,2019102006,1
660,20,Bakul Nivas,South Mess,1,2019102007,B.Tech,2019102007,1
661,20,Bakul Nivas,Yuktahaar Mess,3,2019102008,B.Tech,2019102008,1
662,23,Bakul Nivas,Yuktahaar Mess,2,2019102009,Ph.D,2019102009,1
663,22,Bakul Nivas,South Mess,3,2019102010,B.Tech,2019102010,1
664,20,Bakul Nivas,South Mess,4,2019102011,B.Tech,2019102011,1
665,24,Bakul Nivas,South Mess,3,2019102012,B.Tech,2019102012,1
666,21,Bakul Nivas,South Mess,2,2019102013,Ph.D,2019102013,1
667,18,Bakul Nivas,South Mess,4,2019102014,B.Tech,2019102014,1
668,23,Bakul Nivas,Yuktahaar Mess,3,2019102015,Ph.D,2019102015,1
669,19,Bakul Nivas,South Mess,3,2019102016,B.Tech,2019102016,1
670,23,Bakul Nivas,South Mess,3,2019102017,B.Tech,2019102017,1
671,19,Parijat Nivas,Yuktahaar Mess,3,2019102018,B.Tech,2019102018,1
672,22,Bakul Nivas,South Mess,1,2019102019,B.Tech,2019102019,1
673,23,Bakul Nivas,South Mess,4,2019102020,B.Tech,2019102020,1
674,18,Bakul Nivas,Kadamba Mess,3,2019102021,B.Tech,2019102021,1
675,18,Parijat Nivas,Yuktahaar Mess,2,2019102022,B.Tech,2019102022,1
676,19,Bakul Nivas,South Mess,3,2019102023,B.Tech,2019102023,1
677,20,Bakul Nivas,South Mess,4,2019102024,B.Tech,2019102024,1
678,18,Bakul Nivas,Yuktahaar Mess,1,2019102025,Ph.D,2019102025,1
679,23,Bakul Nivas,Yuktahaar Mess,3,2019102026,B.Tech,2019102026,1
680,20,Parijat Nivas,Yuktahaar Mess,3,2019102027,Ph.D,2019102027,1
681,19,Bakul Nivas,Kadamba Mess,2,2019102028,B.Tech,2019102028,1
